Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Abyssal Gatekeeper",59,wth,Weatherlight,0.01,false,Mint,English,19960620,0.1,0.1
1,"Active Volcano",43,chr,Chronicles,0.01,false,Mint,English,19960620,0.04,0.04
1,"Aether Flash",88,wth,Weatherlight,0.01,false,Mint,English,19960619,0.25,0.25
1,"Afterlife",1,mir,Mirage,0.01,false,NearMint,English,19960619,0.06,0.06
1,"Air Elemental",71,5ed,Fifth Edition,0.01,false,Mint,English,20200620,0.05,0.05
1,"Aku Djinn",51,vis,Visions,0.01,false,Mint,English,19960620,1.31,1.31
1,"Alabaster Potion",3,5ed,Fifth Edition,0.01,false,NearMint,English,20060619,0.01,0.01
1,"Alarum",2,mir,Mirage,0.01,false,Mint,English,19960619,0.01,0.01
1,"Amrou Kithkin",3,ren,Renaissance,0.01,false,Mint,English,19960619,0.0,0.0
1,"Apathy",33,wth,Weatherlight,0.01,false,Mint,English,20200620,0.05,0.05
1,"Arcades Sabboth",71,chr,Chronicles,0.01,false,Mint,English,20200620,0.25,0.25
1,"Archangel",1,vis,Visions,0.01,false,NearMint,English,19960619,0.22,0.22
1,"Argivian Restoration",34,wth,Weatherlight,0.01,false,Mint,English,20200620,0.14,0.14
1,"Argothian Pixies",100,rin,Rinascimento,0.01,false,Mint,English,19960619,0.0,0.0
2,"Argothian Pixies",29,atq,Antiquities,0.01,false,Mint,English,20200620,1.13,2.26
2,"Armor of Faith",8,5ed,Fifth Edition,0.01,false,NearMint,English,19960619,0.05,0.1
1,"Armorer Guildmage",156,mir,Mirage,0.01,false,Mint,English,20200620,0.03,0.03
1,"Army Ants",126,vis,Visions,0.01,false,Mint,English,20200620,0.1,0.1
2,"Ashnod's Altar",38,atq,Antiquities,0.01,false,NearMint,English,19960619,35.17,70.34
2,"Ashnod's Altar",38,atq,Antiquities,0.01,false,Mint,English,20200620,35.17,70.34
1,"Ashnod's Transmogrant",103,rin,Rinascimento,0.01,false,Mint,English,20200620,0.0,0.0
1,"Awakening",101,sth,Stronghold,0.01,false,Mint,English,19960619,2.78,2.78
1,"Aysen Bureaucrats",9,5ed,Fifth Edition,0.01,false,NearMint,English,19960619,0.05,0.05
1,"Backfire",62,4bb,Fourth Edition Foreign Black Border,0.01,false,Mint,English,20200620,0.0,0.0
1,"Bad River",324,mir,Mirage,0.01,false,Mint,English,20200620,2.09,2.09
1,"Balduvian Trading Post",137,all,Alliances,0.01,false,Mint,English,20200620,4.45,4.45
3,"Bandage",9,10e,Tenth Edition,0.01,false,Mint,English,19960619,0.23,0.69
1,"Barrow Ghoul",61,wth,Weatherlight,0.01,false,Mint,English,19960620,0.02,0.02
3,"Beasts of Bogardan",133,leg,Legends,0.01,false,Mint,English,19960619,3.5,10.5
1,"Benalish Infantry",8,wth,Weatherlight,0.01,false,NearMint,English,19960619,0.05,0.05
1,"Benalish Missionary",10,wth,Weatherlight,0.01,false,NearMint,English,19960619,0.04,0.04
1,"Betrayal",26,vis,Visions,0.01,false,Mint,English,20200620,0.09,0.09
1,"Binding Grasp",74,5ed,Fifth Edition,0.01,false,Mint,English,20200620,0.09,0.09
1,"Bird Maiden",37,arn,Arabian Nights,0.01,false,Mint,English,19960619,6.29,6.29
1,"Bird Maiden",177,4bb,Fourth Edition Foreign Black Border,0.01,false,Mint,English,19960619,0.0,0.0
1,"Black Vise",233,lea,Limited Edition Alpha,0.01,false,NearMint,English,19960619,524.99,524.99
1,"Blasted Landscape",319,usg,Urza's Saga,0.01,false,Mint,English,19960619,0.74,0.74
1,"Blight",113,6ed,Classic Sixth Edition,0.01,false,Mint,English,19960620,0.19,0.19
2,"Blistering Barrier",159,mir,Mirage,0.01,false,Mint,English,19960619,0.02,0.04
1,"Blood Lust",178,4bb,Fourth Edition Foreign Black Border,0.01,false,Mint,English,19960620,0.0,0.0
1,"Blue Elemental Blast",50,leb,Limited Edition Beta,0.01,false,Mint,English,20200620,27.23,27.23
