Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Aesthir Glider",,all,Alliances,0.04,false,Mint,Portuguese,20200621,0.05,0.05
2,"Aesthir Glider",,all,Alliances,0.04,false,Mint,Portuguese,20200621,0.05,0.1
1,"Aladdin's Ring",346,5ed,Fifth Edition,0.09,false,Mint,English,20200621,0.15,0.15
2,"Amulet of Kroog",293,4ed,Fourth Edition,0.03,false,Mint,English,20200621,0.03,0.06
2,"Ashnod's Altar",92,chr,Chronicles,3.75,false,Mint,English,20200621,8.0,16.0
1,"Ashnod's Battle Gear",104,ren,Renaissance,0.0,false,Mint,Portuguese,20200621,0.0,0.0
4,"Ashnod's Transmogrant",93,chr,Chronicles,0.04,false,Mint,English,20200621,0.05,0.2
3,"Astrolabe",,all,Alliances,0.04,false,Mint,Portuguese,20200621,0.05,0.15
1,"Baton of Morale",313,ice,Ice Age,0.1,false,Mint,Portuguese,20200621,0.11,0.11
1,"Battering Ram",353,5ed,Fifth Edition,0.05,false,Mint,Portuguese,20200621,0.05,0.05
1,"Brass-Talon Chimera",142,vis,Visions,0.05,false,Mint,English,20200621,0.05,0.05
1,"Bubble Matrix",146,wth,Weatherlight,1.38,false,Mint,Portuguese,20200621,5.12,5.12
1,"Chariot of the Sun",297,mir,Mirage,0.04,false,Mint,English,20200621,0.06,0.06
1,"Chariot of the Sun",297,mir,Mirage,0.04,false,Mint,Portuguese,20200621,0.06,0.06
1,"Chimeric Sphere",148,wth,Weatherlight,0.04,false,Mint,Portuguese,20200621,0.04,0.04
2,"Clay Statue",355,5ed,Fifth Edition,0.05,false,Mint,English,20200621,0.05,0.1
1,"Clay Statue",305,4bb,Fourth Edition Foreign Black Border,0.0,false,Mint,Portuguese,20200621,0.0,0.0
2,"Clockwork Gnomes",102,hml,Homelands,0.08,false,Mint,English,20200621,0.1,0.2
1,"Clockwork Gnomes",102,hml,Homelands,0.08,false,Mint,Portuguese,20200621,0.1,0.1
