Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Abomination",117,4ed,Fourth Edition,0.09,false,Mint,Portuguese,20200718,0.04,0.04
2,"Abyssal Gatekeeper",59,wth,Weatherlight,0.1,false,Mint,Portuguese,20200718,0.1,0.2
1,"Animate Dead",118,4bb,Fourth Edition Foreign Black Border,0.0,false,Mint,English,20200718,0.0,0.0
1,"Animate Dead",140,5ed,Fifth Edition,2.0,false,Mint,Portuguese,20200718,3.0,3.0
1,"Ashes to Ashes",141,5ed,Fifth Edition,0.24,false,Mint,English,20200718,0.45,0.45
1,"Banshee",29,chr,Chronicles,0.05,false,Mint,English,20200718,0.03,0.03
2,"Barrow Ghoul",61,wth,Weatherlight,0.03,false,Mint,Portuguese,20200718,0.02,0.04
1,"Basal Thrull",,fem,Fallen Empires,0.08,false,Mint,English,20200718,0.1,0.1
1,"Black Carriage",42,hml,Homelands,0.16,false,Mint,Portuguese,20200718,1.09,1.09
2,"Bog Imp",123,4bb,Fourth Edition Foreign Black Border,0.0,false,Mint,English,20200718,0.0,0.0
1,"Bog Imp",123,4bb,Fourth Edition Foreign Black Border,0.0,false,Mint,Portuguese,20200718,0.0,0.0
4,"Bone Harvest",108,mir,Mirage,0.05,false,Mint,English,20200718,0.06,0.24
2,"Bone Harvest",108,mir,Mirage,0.05,false,Mint,Portuguese,20200718,0.06,0.12
2,"Breathstealer",109,mir,Mirage,0.03,false,Mint,English,20200718,0.02,0.04
1,"Breeding Pit",148,5ed,Fifth Edition,0.05,false,Mint,English,20200718,0.1,0.1
1,"Brood of Cockroaches",53,vis,Visions,0.1,false,Mint,English,20200718,0.14,0.14
1,"Buried Alive",63,wth,Weatherlight,1.49,false,Mint,Portuguese,20200718,4.49,4.49
1,"Buried Alive",63,wth,Weatherlight,1.49,false,NearMint,Portuguese,20200718,4.49,4.49
1,"Cadaverous Knight",110,mir,Mirage,0.05,false,Mint,English,20200718,0.04,0.04
1,"Cannibalize",53,sth,Stronghold,0.05,false,Mint,English,20200718,0.09,0.09
1,"Carrion Ants",150,5ed,Fifth Edition,0.09,false,Mint,English,20200718,0.08,0.08
1,"Carrion Ants",125,4ed,Fourth Edition,0.09,false,Mint,Portuguese,20200718,0.08,0.08
1,"Casting of Bones",,all,Alliances,0.06,false,Mint,Portuguese,20200718,0.06,0.06
1,"Choking Sands",113,mir,Mirage,0.12,false,Mint,Portuguese,20200718,0.21,0.21
1,"Circling Vultures",64,wth,Weatherlight,0.05,false,Mint,English,20200718,0.1,0.1
1,"Circling Vultures",64,wth,Weatherlight,0.05,false,Mint,Portuguese,20200718,0.1,0.1
1,"Cloak of Confusion",151,5ed,Fifth Edition,0.05,false,Mint,English,20200718,0.03,0.03
3,"Coercion",54,vis,Visions,0.04,false,Mint,English,20200718,0.03,0.09
