Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Abduction",55,6ed,Classic Sixth Edition,0.14,false,Mint,Portuguese,20200626,0.2,0.2
1,"Abjure",31,wth,Weatherlight,0.1,false,Mint,English,20200621,0.25,0.25
3,"Abjure",31,wth,Weatherlight,0.1,false,Mint,Portuguese,20200627,0.25,0.75
1,"Air Elemental",71,5ed,Fifth Edition,0.05,false,Mint,English,20200626,0.05,0.05
1,"Air Elemental",47,fbb,Foreign Black Border,0.0,false,Mint,Portuguese,20200626,0.0,0.0
2,"Apathy",33,wth,Weatherlight,0.05,false,Mint,Portuguese,20200627,0.05,0.1
1,"Apprentice Wizard",61,4bb,Fourth Edition Foreign Black Border,0.09,false,Mint,Portuguese,20200628,0.0,0.0
2,"Arcane Denial",,all,Alliances,0.28,false,Mint,Portuguese,20200628,0.5,1.0
1,"Argivian Restoration",34,wth,Weatherlight,0.15,false,Mint,Portuguese,20200626,0.14,0.14
1,"Arnjlot's Ascent",57,ice,Ice Age,0.02,false,Mint,Portuguese,20200628,0.01,0.01
1,"Awesome Presence",,all,Alliances,0.05,false,Mint,Portuguese,20200627,0.08,0.08
2,"Azimaet Drake",53,mir,Mirage,0.04,false,Mint,English,20200626,0.01,0.02
1,"Azimaet Drake",53,mir,Mirage,0.04,false,Mint,Portuguese,20200628,0.01,0.01
2,"Azure Drake",8,brb,Battle Royale Box Set,0.1,false,Mint,English,20200626,0.09,0.18
2,"Balduvian Shaman",59,ice,Ice Age,0.03,false,Mint,Portuguese,20200628,0.04,0.08
2,"Bay Falcon",54,mir,Mirage,0.05,false,Mint,English,20200626,0.04,0.08
2,"Bay Falcon",54,mir,Mirage,0.05,false,Mint,Portuguese,20200628,0.04,0.08
1,"Bazaar of Wonders",55,mir,Mirage,0.25,false,Mint,Portuguese,20200626,1.95,1.95
1,"Benthic Explorers",,all,Alliances,0.04,false,Mint,Portuguese,20200626,0.04,0.04
3,"Betrayal",26,vis,Visions,0.08,false,Mint,English,20200621,0.09,0.27
1,"Betrayal",26,vis,Visions,0.08,false,Mint,Portuguese,20200627,0.09,0.09
1,"Boomerang",48,leg,Legends,0.07,false,Mint,English,20200621,0.69,0.69
1,"Brainstorm",61,ice,Ice Age,0.4,false,Mint,English,20200621,0.33,0.33
5,"Breezekeeper",27,vis,Visions,0.03,false,Mint,English,20200626,0.05,0.25
2,"Breezekeeper",27,vis,Visions,0.03,false,Mint,Portuguese,20200626,0.05,0.1
1,"Cerulean Wyvern",57,mir,Mirage,0.06,false,Mint,Portuguese,20200626,0.05,0.05
1,"Chronatog",28,vis,Visions,0.25,false,Mint,English,20200626,1.99,1.99
2,"Clairvoyance",63,ice,Ice Age,0.05,false,Mint,Portuguese,20200627,0.04,0.08
