Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Asmira, Holy Avenger",256,mir,Mirage,0.46,false,Mint,Portuguese,20200621,1.48,1.48
1,"Chromium",224,leg,Legends,18.72,false,Mint,English,20200621,69.0,69.0
2,"Energy Arc",106,all,Alliances,0.07,false,Mint,Portuguese,20200621,0.1,0.2
1,"Guiding Spirit",131,vis,Visions,0.59,false,Mint,English,20200621,1.99,1.99
1,"Guiding Spirit",131,vis,Visions,0.59,false,Mint,Portuguese,20200621,1.99,1.99
1,"Haunting Apparition",267,mir,Mirage,0.05,false,Mint,English,20200621,0.05,0.05
1,"Hazerider Drake",268,mir,Mirage,0.07,false,Mint,English,20200621,0.06,0.06
1,"Johan",236,leg,Legends,5.71,false,Mint,English,20200621,27.4,27.4
1,"Kei Takahashi",78,chr,Chronicles,0.06,false,Mint,Portuguese,20200621,0.04,0.04
1,"Lim-Dûl's Paladin",108,all,Alliances,0.08,false,Mint,Portuguese,20200621,0.1,0.1
1,"Lord of Tresserhorn",112,all,Alliances,1.0,false,Mint,Portuguese,20200621,3.77,3.77
1,"Marhault Elsdragon",79,chr,Chronicles,0.05,false,Mint,English,20200621,0.05,0.05
1,"Nature's Blessing",110,all,Alliances,0.08,false,Mint,Portuguese,20200621,0.08,0.08
1,"Nicol Bolas",246,leg,Legends,41.99,false,Mint,English,20200621,160.0,160.0
1,"Prismatic Boon",274,mir,Mirage,0.05,false,Mint,English,20200621,0.04,0.04
1,"Purgatory",275,mir,Mirage,0.48,false,Mint,English,20200621,1.6,1.6
1,"Pygmy Hippo",133,vis,Visions,0.53,false,Mint,English,20200621,2.23,2.23
1,"Radiant Essence",276,mir,Mirage,0.05,false,Mint,Portuguese,20200621,0.03,0.03
2,"Sawback Manticore",281,mir,Mirage,0.18,false,Mint,Portuguese,20200621,0.85,1.7
1,"Scalebane's Elite",135,vis,Visions,0.05,false,Mint,Portuguese,20200621,0.06,0.06
1,"Simoon",136,vis,Visions,0.05,false,Mint,English,20200621,0.06,0.06
1,"Spatial Binding",284,mir,Mirage,0.05,false,Mint,Portuguese,20200621,0.06,0.06
2,"Spectral Shield",302,ice,Ice Age,0.06,false,Mint,Portuguese,20200621,0.08,0.16
1,"Tempest Drake",139,vis,Visions,0.05,false,Mint,Portuguese,20200621,0.07,0.07
1,"Wings of Aesthir",305,cst,Coldsnap Theme Decks,0.09,false,Mint,Portuguese,20200621,0.1,0.1
