Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
2,"Active Volcano",43,chr,Chronicles,0.05,false,Mint,English,20201121,0.04,0.08
2,"Aether Flash",88,wth,Weatherlight,0.25,false,Mint,English,20201121,0.25,0.5
1,"Agent of Stromgald",,all,Alliances,0.05,false,Mint,English,20201121,0.05,0.05
1,"Aladdin",34,arn,Arabian Nights,99.99,false,Mint,English,20201121,111.11,111.11
2,"Aleatory",155,mir,Mirage,0.25,false,Mint,English,20201121,0.25,0.5
1,"Aliban's Tower",,hml,Homelands,0.05,false,Mint,Portuguese,20201121,0.03,0.03
2,"Ambush Party",208,5ed,Fifth Edition,0.03,false,Mint,English,20201121,0.01,0.02
1,"Ambush Party",,hml,Homelands,0.04,false,Mint,Portuguese,20201121,0.02,0.02
1,"Anaba Shaman",,hml,Homelands,0.04,false,Mint,Portuguese,20201121,0.03,0.03
1,"Anaba Spirit Crafter",68,hml,Homelands,0.9,false,Mint,Portuguese,20201121,2.65,2.65
1,"Armorer Guildmage",156,mir,Mirage,0.05,false,Mint,English,20201121,0.03,0.03
3,"Balduvian War-Makers",,all,Alliances,0.05,false,Mint,Portuguese,20201121,0.03,0.09
1,"Bestial Fury",,all,Alliances,0.04,false,Mint,Portuguese,20201121,0.07,0.07
1,"Bestial Fury",,all,Alliances,0.03,false,Mint,Portuguese,20201121,0.05,0.05
2,"Betrothed of Fire",89,wth,Weatherlight,0.04,false,Mint,English,20201121,0.04,0.08
3,"Betrothed of Fire",89,wth,Weatherlight,0.04,false,Mint,Portuguese,20201121,0.04,0.12
1,"Bird Maiden",211,5ed,Fifth Edition,0.05,false,Mint,English,20201121,0.04,0.04
1,"Bird Maiden",177,4bb,Fourth Edition Foreign Black Border,0.0,false,Mint,Portuguese,20201121,0.0,0.0
1,"Bird Maiden",211,5ed,Fifth Edition,0.05,false,Mint,Portuguese,20201121,0.04,0.04
1,"Blind Fury",158,mir,Mirage,0.06,false,Mint,Portuguese,20201121,0.06,0.06
2,"Blistering Barrier",159,mir,Mirage,0.05,false,Mint,English,20201121,0.02,0.04
1,"Blistering Barrier",159,mir,Mirage,0.05,false,Mint,Portuguese,20201121,0.02,0.02
1,"Blood Lust",178,4ed,Fourth Edition,0.07,false,Mint,English,20201121,0.08,0.08
1,"Bloodrock Cyclops",90,wth,Weatherlight,0.03,false,Mint,English,20201121,0.04,0.04
3,"Bloodrock Cyclops",90,wth,Weatherlight,0.03,false,Mint,Portuguese,20201121,0.04,0.12
2,"Bogardan Firefiend",91,wth,Weatherlight,0.05,false,Mint,Portuguese,20201121,0.04,0.08
1,"Boiling Blood",92,wth,Weatherlight,0.06,false,Mint,Portuguese,20201121,0.07,0.07
2,"Brassclaw Orcs",213,5ed,Fifth Edition,0.05,false,Mint,English,20201121,0.05,0.1
1,"Brassclaw Orcs",,fem,Fallen Empires,0.05,false,Mint,English,20201121,0.05,0.05
1,"Brothers of Fire",214,5ed,Fifth Edition,0.02,false,Mint,English,20201121,0.02,0.02
