Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Balduvian Trading Post",137,all,Alliances,0.44,false,Mint,Portuguese,20200621,4.45,4.45
1,"Castle Sengir",113,hml,Homelands,0.09,false,Mint,Portuguese,20200621,0.1,0.1
1,"City of Brass",413,5ed,Fifth Edition,11.56,false,Mint,English,20200621,15.0,15.0
1,"Coral Atoll",287,c14,Commander 2014,0.4,false,Mint,English,20200621,0.15,0.15
1,"Dormant Volcano",161,vis,Visions,0.12,false,Mint,English,20200621,0.19,0.19
2,"Dwarven Ruins",415,5ed,Fifth Edition,0.05,false,Mint,English,20200621,0.19,0.38
1,"Ebon Stronghold",95,fem,Fallen Empires,0.08,false,Mint,English,20200621,0.2,0.2
2,"Ebon Stronghold",25,pd3,Premium Deck Series: Graveborn,0.0,false,Mint,English,20200621,0.0,0.0
2,"Everglades",162,vis,Visions,0.13,false,Mint,English,20200621,0.16,0.32
2,"Gemstone Mine",164,wth,Weatherlight,5.87,false,Mint,English,20200621,4.24,8.48
1,"Gemstone Mine",164,wth,Weatherlight,5.87,false,Mint,Portuguese,20200621,4.24,4.24
1,"Grasslands",327,mir,Mirage,0.44,false,Mint,Portuguese,20200621,0.45,0.45
1,"Griffin Canyon",163,vis,Visions,0.83,false,Mint,English,20200621,11.31,11.31
1,"Hollow Trees",418,5ed,Fifth Edition,0.57,false,Mint,Portuguese,20200621,0.48,0.48
2,"Jungle Basin",258,cma,Commander Anthology,0.2,false,Mint,English,20200621,0.19,0.38
1,"Karoo",303,c14,Commander 2014,0.2,false,Mint,Portuguese,20200621,0.24,0.24
1,"Karplusan Forest",421,5ed,Fifth Edition,2.5,false,Mint,English,20200621,4.23,4.23
1,"Koskun Keep",114,hml,Homelands,0.05,false,Mint,Portuguese,20200621,0.09,0.09
2,"Rocky Tar Pit",329,mir,Mirage,0.24,false,Mint,English,20200621,0.24,0.48
2,"School of the Unseen",141,all,Alliances,0.05,false,Mint,Portuguese,20200621,0.12,0.24
1,"Scorched Ruins",166,wth,Weatherlight,7.27,false,Mint,Portuguese,20200621,27.02,27.02
1,"Sheltered Valley",142,all,Alliances,0.25,false,Mint,Portuguese,20200621,0.95,0.95
1,"Soldevi Excavations",143,all,Alliances,2.79,false,Mint,Portuguese,20200621,17.45,17.45
1,"Strip Mine",363,4bb,Fourth Edition Foreign Black Border,14.49,false,Mint,Portuguese,20200621,0.0,0.0
1,"Svyelunite Temple",329,6ed,Classic Sixth Edition,0.09,false,Mint,English,20200621,0.14,0.14
2,"Undiscovered Paradise",167,vis,Visions,4.44,false,Mint,English,20200621,13.0,26.0
1,"Urza's Mine",,atq,Antiquities,5.89,false,Mint,English,20200621,13.99,13.99
1,"Urza's Mine",175,rin,Rinascimento,0.0,false,Mint,English,20200621,0.0,0.0
1,"Urza's Mine",427,5ed,Fifth Edition,0.5,false,Mint,English,20200621,0.89,0.89
4,"Urza's Power Plant",,chr,Chronicles,0.44,false,Mint,English,20200621,0.25,1.0
1,"Urza's Power Plant",,atq,Antiquities,3.75,false,Mint,English,20200621,7.2,7.2
3,"Urza's Power Plant",,atq,Antiquities,8.69,false,Mint,English,20200621,15.8,47.4
1,"Urza's Tower",183,rin,Rinascimento,0.0,false,Mint,English,20200621,0.0,0.0
1,"Urza's Tower",185,rin,Rinascimento,0.0,false,Mint,English,20200621,0.0,0.0
4,"Urza's Tower",186,rin,Rinascimento,0.0,false,Mint,English,20200621,0.0,0.0
