Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
2,"Abbey Matron",,hml,Homelands,0.04,false,Mint,English,20200822,0.04,0.08
2,"Abbey Matron",,hml,Homelands,0.04,false,NearMint,Portuguese,20200822,0.02,0.04
1,"Adarkar Unicorn",1,ice,Ice Age,0.03,false,Mint,Portuguese,20200822,0.04,0.04
1,"Afterlife",1,mir,Mirage,0.07,false,Mint,English,20200822,0.06,0.06
2,"Akron Legionnaire",2,5ed,Fifth Edition,0.1,false,Mint,English,20200822,0.18,0.36
1,"Alabaster Dragon",2,wth,Weatherlight,0.2,false,Mint,Portuguese,20200822,0.32,0.32
2,"Alabaster Potion",3,5ed,Fifth Edition,0.05,false,Mint,Portuguese,20200822,0.01,0.02
1,"Alarum",2,mir,Mirage,0.04,false,Mint,English,20200822,0.01,0.01
3,"Alms",3,wth,Weatherlight,0.01,false,Mint,English,20200822,0.03,0.09
2,"Amrou Kithkin",2,4bb,Fourth Edition Foreign Black Border,0.0,false,Mint,Portuguese,20200822,0.0,0.0
1,"Amrou Kithkin",2,4bb,Fourth Edition Foreign Black Border,0.04,false,Mint,Portuguese,20200822,0.0,0.0
2,"Angelic Renewal",4,wth,Weatherlight,0.08,false,Mint,Portuguese,20200822,0.14,0.28
1,"Animate Wall",5,5ed,Fifth Edition,0.14,false,Mint,English,20200822,0.2,0.2
1,"Archangel",1,vis,Visions,0.22,false,Mint,Portuguese,20200822,0.22,0.22
1,"Ardent Militia",5,wth,Weatherlight,0.03,false,Mint,English,20200822,0.03,0.03
3,"Ardent Militia",3,6ed,Classic Sixth Edition,0.05,false,Mint,Portuguese,20200822,0.04,0.12
1,"Arenson's Aura",6,5ed,Fifth Edition,0.08,false,Mint,English,20200822,0.05,0.05
1,"Arenson's Aura",3,ice,Ice Age,0.03,false,Mint,Portuguese,20200822,0.04,0.04
1,"Armor of Faith",8,5ed,Fifth Edition,0.05,false,Mint,English,20200822,0.05,0.05
1,"Aura of Silence",7,wth,Weatherlight,2.24,false,Mint,Portuguese,20200822,2.99,2.99
1,"Aysen Bureaucrats",,hml,Homelands,0.02,false,Mint,Portuguese,20200822,0.05,0.05
1,"Aysen Bureaucrats",9,5ed,Fifth Edition,0.05,false,Mint,English,20200822,0.05,0.05
1,"Aysen Bureaucrats",,hml,Homelands,0.02,false,Mint,English,20200822,0.05,0.05
2,"Benalish Hero",10,5ed,Fifth Edition,0.05,false,Mint,English,20200822,0.07,0.14
2,"Benalish Infantry",8,wth,Weatherlight,0.03,false,Mint,Portuguese,20200822,0.05,0.1
1,"Benalish Knight",9,wth,Weatherlight,0.05,false,Mint,English,20200822,0.04,0.04
1,"Benalish Knight",9,wth,Weatherlight,0.05,false,Mint,Portuguese,20200822,0.04,0.04
1,"Benalish Missionary",10,wth,Weatherlight,0.03,false,Mint,Portuguese,20200822,0.04,0.04
1,"Benevolent Unicorn",4,mir,Mirage,0.05,false,Mint,English,20200822,0.04,0.04
1,"Blessed Wine",7,ice,Ice Age,0.03,false,Mint,English,20200822,0.01,0.01
1,"Blessed Wine",11,5ed,Fifth Edition,0.04,false,Mint,Portuguese,20200822,0.05,0.05
1,"Blood of the Martyr",2,drk,The Dark,0.15,false,Mint,English,20200822,0.35,0.35
1,"Brainwash",13,5ed,Fifth Edition,0.05,false,Mint,English,20200822,0.05,0.05
1,"Brainwash",13,5ed,Fifth Edition,0.05,false,Mint,Portuguese,20200822,0.05,0.05
1,"Brainwash",6,ren,Renaissance,0.0,false,Mint,Portuguese,20200822,0.0,0.0
3,"Carrier Pigeons",,all,Alliances,0.03,false,Mint,Portuguese,20200822,0.07,0.21
2,"Carrier Pigeons",,all,Alliances,0.04,false,Mint,Portuguese,20200822,0.03,0.06
1,"Castle",12,4ed,Fourth Edition,0.05,false,Mint,Portuguese,20200822,0.05,0.05
